term_start,Name,military_level,era,popup info
1789,George Washington,Top command,Founding Generation,Commander-in-Chief of the Continental Army in the Revolutionary War
1829,Andrew Jackson,Senior leadership,Founding Generation,none
1801,Thomas Jefferson,Mid-level officer,Founding Generation,Colonel of Virginia militia (without real military service)
1841,John Tyler,Lower-level service,Founding Generation,Colonel of Virginia militia (without real military service)
1797,John Adams,No service,Founding Generation,Major of the Continental Army
1809,James Madison,Mid-level officer,Founding Generation,none
1817,James Monroe,Mid-level officer,Founding Generation,Major General of U.S. Army
1825,John Quincy Adams,No service,Founding Generation,none
1837,Martin van Buren,No service,Founding Generation,Major General of U.S. Army
1841,William H. Harrison,Senior leadership,Founding Generation,Captain of Virginia militia
1845,James K. Polk,Mid-level officer,Founding Generation,Colonel of Tennessee militia
1849,Zachary Taylor,Senior leadership,Founding Generation,Major General U.S. Army
1850,Millard Fillmore,Mid-level officer,Founding Generation,"Major - Union Continentals (Home Guard) , NY militia"
1853,Franklin Pierce,Senior leadership,Founding Generation,Brigadier Gen. of Volunteers
1857,James Buchanan,Lower-level service,Founding Generation,Private - U.S. Army
1861,Abraham Lincoln,Lower-level service,Civil War,Captain of State militia
1865,Andrew Johnson,Senior leadership,Civil War,Brigadier General of Volunteers - military governor of Tennessee
1869,Ulysses S. Grant,Top command,Civil War,General of the Army
1877,Rutherford Hayes,Senior leadership,Industrial Expansion,Major General of Volunteers
1881,James Garfield,Senior leadership,Industrial Expansion,Major General of Volunteers
1881,Chester Arthur,Mid-level officer,Industrial Expansion,Quartermaster General of New York State militia
1885,Grover Cleveland,No service,Industrial Expansion,none
1889,Benjamin Harrison,Senior leadership,Industrial Expansion,Brigadier General of Vol.
1893,Grover Cleveland,No service,Industrial Expansion,none
1897,William McKinley,Mid-level officer,Industrial Expansion,Brevet Major of Volunteers in Civil War
1901,Theodore Roosevelt,Mid-level officer,Industrial Expansion,Colonel
1909,William Taft,No service,Industrial Expansion,none
1913,Woodrow Wilson,No service,Industrial Expansion,none
1921,Warren Harding,No service,World Wars,none
1923,Calvin Coolidge,No service,World Wars,none
1929,Herbert C. Hoover,No service,World Wars,none
1933,Franklin Roosevelt,No service,World Wars,none
1945,Harry S Truman,Mid-level officer,World Wars,Colonel - U.S. Army
1953,Dwight Eisenhower,Top command,Cold War,General of the Army
1961,John F. Kennedy,Lower-level service,Cold War,Lieutenant - U.S. Navy
1963,Lyndon Johnson,Mid-level officer,Cold War,Commander - U.S. Navy
1969,Richard Nixon,Mid-level officer,Cold War,Commander - U.S. Navy
1974,Gerald R. Ford,Mid-level officer,Cold War,Lt. Commander -U.S. Navy
1977,Jimmy Carter,Lower-level service,Cold War,Lieutenant - U.S. Navy
1981,Ronald Reagan,Lower-level service,Cold War,Captain- U.S. Army
1989,George H. W. Bush,Lower-level service,Cold War,Lieutenant-U.S. Navy
1993,Bill Clinton,No service,Modern Day,none
2001,George W. Bush,Lower-level service,Modern Day,Lieutenant - Air Force
2009,Barack Obama,No service,Modern Day,none
2017,Donald Trump,No service,Modern Day,none
2021,Joe Biden,No service,Modern Day,none
2025,Donald Trump,No service,Modern Day,none
1797,George Washington,Top command,Founding Generation,Commander-in-Chief of the Continental Army in the Revolutionary War
1801,John Adams,No service,Founding Generation,none
1809,Thomas Jefferson,Mid-level officer,Founding Generation,Colonel of Virginia militia (without real military service)
1817,James Madison,Mid-level officer,Founding Generation,Colonel of Virginia militia (without real military service)
1825,James Monroe,Mid-level officer,Founding Generation,Major of the Continental Army
1829,John Quincy Adams,No service,Founding Generation,none
1837,Andrew Jackson,Senior leadership,Founding Generation,Major General of U.S. Army
1841,Martin van Buren,No service,Founding Generation,none
