President,# President,Number of Countries Visited as President,Age Taking Office,Height (meters),Number of Children,Term,Number of Executive Orders
George Washington,1,,57.18,1.88,2,1789-1797,8
John Adams,2,,61.34,1.7,6,1797-1801,1
Thomas Jefferson,3,,57.89,1.89,14,1801-1809,4
James Madison,4,,57.97,1.63,2,1809-1817,1
James Monroe,5,,58.85,1.83,3,1817-1825,1
John Quincy Adams,6,,57.65,1.7,5,1825-1829,3
Andrew Jackson,7,,61.97,1.85,3,1829-1837,12
Martin Van Buren,8,,54.24,1.68,6,1837-1841,10
William Henry Harrison,9,,68.06,1.73,16,1841,0
John Tyler,10,,51.02,1.83,16,1841-1845,17
James K. Polk,11,,49.33,1.73,0,1845-1849,18
Zachary Taylor,12,,61.27,1.73,6,1849-1850,5
Millard Fillmore,13,,50.5,1.75,2,1850-1853,12
Franklin Pierce,14,,48.28,1.78,3,1853-1857,35
James Buchanan,15,,65.86,1.83,2,1857-1861,16
Abraham Lincoln,16,,52.05,1.93,4,1861-1865,48
Andrew Johnson,17,,56.29,1.78,5,1865-1869,79
Ulysses S. Grant,18,,46.85,1.73,4,1869-1877,217
Rutherford B. Hayes,19,,54.41,1.73,8,1877-1881,96
James A. Garfield,20,,49.29,1.83,7,1881,6
Chester A. Arthur,21,,51.96,1.88,3,1881-1885,96
Grover Cleveland,22,,47.96,1.8,6,1885-1889,253
Benjamin Harrison,23,,59.54,1.68,4,1889-1893,143
Grover Cleveland,24,,47.96,1.8,6,1885-1889,253
William McKinley,25,,58.62,1.7,2,1897-1901,185
Theodore Roosevelt,26,1,42.88,1.78,6,1901-1909,1081
William Howard Taft,27,1,55.47,1.83,3,1909-1913,724
Woodrow Wilson,28,5,64.18,1.8,3,1913-1921,1803
Warren G. Harding,29,1,57.75,1.83,2,1921-1923,522
Calvin Coolidge,30,1,56.67,1.78,2,1923-1929,1203
Herbert Hoover,31,0,58.56,1.8,2,1929-1933,968
Franklin D. Roosevelt,32,25,51.09,1.88,6,1933-1945,3721
Harry S. Truman,33,7,60.93,1.75,1,1945-1953,907
Dwight D. Eisenhower,34,27,62.27,1.78,2,1953-1961,484
John F. Kennedy,35,14,43.65,1.83,4,1961-1963,214
Lyndon B. Johnson,36,20,55.24,1.92,2,1963-1969,325
Richard Nixon,37,34,56.03,1.8,2,1969-1974,346
Gerald Ford,38,19,61.07,1.83,4,1974-1977,169
Jimmy Carter,39,25,52.3,1.77,4,1977-1981,320
Ronald Reagan,40,26,69.96,1.85,5,1981-1989,381
George H. W. Bush,41,38,54.54,1.88,6,1989-1993,166
Bill Clinton,42,73,46.42,1.88,1,1993-2001,364
George W. Bush,43,75,54.54,1.82,2,2001-2009,291
Barack Obama,44,58,47.46,1.87,2,2009-2017,276
Donald Trump,45,59,70.6,1.88,5,2017-2021,455
Joe Biden,46,27,78.17,1.82,4,2021-2025,162
