President,Birth State,Death State,University,Highest Degree Held,Religion,Occupation,Military Service,Term,Party,Vice President,Previous Office,has_higher_education,previous_office_group,era,Portrait,Summary
George Washington,Virginia,Virginia,No University,No Degree,Episcopalian,"Plantation Owner, Soldier",Commander-in-Chief of the Continental Army in the Revolutionary War,1789-1797,Federalist,John Adams,Commander-in-Chief,FALSE,Military Leadership,Founding Generation,https://tile.loc.gov/storage-services/service/pnp/cph/3a00000/3a09000/3a09900/3a09915v.jpg,"It was almost inevitable that George Washington, one of the most respected men in the colonies and the hero of the Revolutionary War, would be unanimously elected the first president of the United States. Washington was well aware of the importance of the example he was setting for all presidents to come, and performed his duties with this is mind. It was Washington who decided that the president should live in the same place where he worked, his New York lodgings becoming the precursor to the White House; he created the presidential cabinet, with whom he met regularly to go over matters of state; and he helped to select the site and design the city that would become the capital of the new nation. Washington's courage in battle, dignified bearing, and universally admired strength of character earned him the name ""Father of His Country,"" and to this day we recognize the importance of his contributions to the United States."
John Adams,Massachusetts,Massachusetts,Harvard University,Masters,Unitarian,"Lawyer, Farmer",No Service,1797-1801,Federalist,Thomas Jefferson,Vice President,TRUE,Vice President,Founding Generation,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a53000/3a53200/3a53276r.jpg,"John Adams was one of the most fervent proponents in the colonies of independence from Britain, and used his eloquent writing and speaking style to persuade other members of the Continental Congresses to move with determination toward freedom. Adams helped draft the Declaration of Independence and negotiate the treaty that ended the Revolutionary War, and in 1789 he was elected vice president under George Washington. Eight years later he succeeded him as the second U.S. President. During his presidency, Adams came under fire from his countrymen for his attempts to protect the shipping rights of the United States and keep the country out of the growing hostilities between France and Britain. But by establishing a naval department during this period, he was honored as the ""Father of the Navy."" At the beginning of his presidency, Adams and his family moved into the unfinished residence in the new federal city, Washington, DC. His wish for the future of what was later to be known as the White House was ""May none but honest and wise Men ever rule under the roof."""
Thomas Jefferson,Virginia,Virginia,The College of William & Mary,Bachelors,Unaffiliated Christian,"Inventor,Lawyer, Architect",Colonel of Virginia Militia (without real military service),1801-1809,Democratic-Republican,"Aaron Burr, George Clinton",Vice President,TRUE,Vice President,Founding Generation,https://tile.loc.gov/storage-services/service/pnp/ppmsca/15700/15708v.jpg,"Thomas Jefferson was truly a Renaissance man. A brilliant scholar, inventor, naturalist, and architect, Jefferson played the violin, spoke six languages, conducted archeological investigations of Native American mounds, founded the University of Virginia, and assembled a 10,000-book library which became the foundation of the Library of Congress. His writing talent produced the historic Declaration of Independence, the document that boldly told King George that the colonies would no longer accept his rule. Jefferson's political savvy led him to hold a number of governmental positions before becoming president: he was elected to the Virginia House of Burgesses when he was only 25, served in the Continental Congress, became governor of Virginia, a diplomat in Europe where he helped negotiate the treaties that ended the Revolutionary War, secretary of state under Washington, and vice president under John Adams. During his presidency, Jefferson doubled the size of the country by purchasing the territory of Louisiana."
James Madison,Virginia,Virginia,Princeton University,Bachelors,Episcopalian,"Plantation Owner, Lawyer",Colonel of Virginia Militia (without real military service),1809-1817,Democratic-Republican,"George Clinton, Elbridge Gerry",Secretary of State,TRUE,Cabinet,Founding Generation,https://tile.loc.gov/storage-services/service/pnp/ppmsca/19100/19166v.jpg,"Nicknamed ""The Father of the Constitution"" for his work on the document, James Madison was also a framer of the Bill of Rights, the first ten amendments to the Constitution. After eight years as secretary of state under Jefferson, Madison and his popular wife Dolley moved into the White House. In 1812, Madison reluctantly asked Congress to declare war on Britain; this unpopular decision led to the British invasion and burning of Washington two years later. If not for General Andrew Jackson's brilliant victory over the British at the Battle of New Orleans in 1815, ""Mr. Madison's War"" might be all the fourth President is remembered for."
James Monroe,Virginia,New York,The College of William & Mary,No Degree,Episcopalian,"Plantation Owner, Lawyer",Major of the Continental Army,1817-1825,Democratic-Republican,Daniel Tompkins,Secretary of War,TRUE,Cabinet,Founding Generation,https://tile.loc.gov/storage-services/service/pnp/cph/3c10000/3c17000/3c17100/3c17118v.jpg,"The last patriot of the Revolutionary era to become president, Monroe was elected at a time when the nation was at peace. His presidency was called the ""Era of Good Feelings,"" yet the economic depression of 1819 and ongoing debates about the extension of slavery to new states and territories belied the name. Monroe is best remembered for his declaration that the United States would behave unfavorably toward European countries that tried to interfere with North and South American affairs, warning against any attempts by European powers to establish colonies in America. This pronouncement is now known as ""The Monroe Doctrine."""
John Quincy Adams,Massachusetts,District of Columbia,Harvard University,Masters,Unitarian,"Lawyer, Diplomat",No Service,1825-1829,Democratic-Republican,John Calhoun,Secretary of State,TRUE,Cabinet,Founding Generation,https://tile.loc.gov/storage-services/service/pnp/cph/3c10000/3c17000/3c17100/3c17119v.jpg,"The son of John Adams, the illustrious patriot and second President of the United States, John Quincy Adams had been an outstanding diplomat, member of the U.S. Congress, and secretary of state before becoming president. However, his election in 1824 was mired in controversy. In that contest, no candidate received a majority of either the popular or electoral votes, and the race was decided by the House of Representatives. The House, led by Speaker Henry Clay, chose Adams, even though Andrew Jackson had received the most votes. When Adams in turn selected Clay as his Secretary of State, Jackson supporters decried the ""Corrupt Bargain."" As president, Adams' ideas for using taxes for public works projects and scientific exploration were not popular with the public, and he was not reelected. After his presidency, Adams spent a long and distinguished career in the House of Representatives, where he was a tireless opponent of slavery."
Andrew Jackson,Tennessee,Tennessee,No University,No Degree,Presbyterian,"Soldier, Lawyer",Major General of U.S. Army,1829-1837,Democratic,"John Calhoun, Martin van Buren",Military Governor of Florida,FALSE,Governor,Founding Generation,https://tile.loc.gov/storage-services/service/pnp/cph/3c10000/3c17000/3c17100/3c17120v.jpg,"The first president to be born in a log cabin (although hardly the last to claim to be!), Andrew Jackson was also the first man elected to the House of Representatives from the state of Tennessee. As a military leader, his role in the defeat of the British at the Battle of New Orleans made Jackson a national hero, and in 1824 he seemed destined to ride into the White House on his popularity. While Jackson did, indeed, receive the most popular and electoral votes, he did not receive a majority, and the race was decided by the House of Representatives. Jackson's supporters were outraged when the House chose opponent John Quincy Adams, resulting in reforms of the American party system and the electoral process. Jackson returned in 1828 to win the presidency. Cultivating the image of a feisty frontiersman, Jackson felt that it was his responsibility to represent the average American citizen. He fought with Congress over any legislation that appeared to favor the rich, a philosophy known as ""Jacksonian Democracy."" He also continued to fight the war on the frontier by signing the Indian Removal Act of 1830, which allowed the American government to forcibly relocate Native Americans to territories west of the Mississippi River. His opponents dubbed him ""King Andrew,"" suggesting abuses of power in the name of the people. The voters didn't seem to mind, handily reelecting Jackson to a second term."
Martin Van Buren,New York,New York,No University,No Degree,Dutch Reformed,Lawyer,No Service,1837-1841,Democratic,Richard Johnson,Vice President,FALSE,Vice President,Founding Generation,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a53000/3a53200/3a53282r.jpg,"Martin Van Buren was hand-picked by his friend Andrew Jackson to follow him into the White House. But, even the support of the ever-popular Jackson could not protect Van Buren from the ill will of the people as the result of the severe economic depression that followed him into office and eventually led to his defeat in 1840. Van Buren was also responsible for forcing 15,000 Cherokee from their Georgia homeland to what is now Oklahoma. Without adequate food and supplies, the Native Americans marched for 116 days, escorted by federal troops who did not allow them to rest or tend to the ill. As a result, some 4,000 Native Americans died on the treacherous journey known as ""The Trail of Tears."""
William Henry Harrison,Virginia,District of Columbia,University of Pennsylvania,No Degree,Episcopalian,Soldier,Major General of U.S. Army,1841,Whig,John Tyler,Minister to Colombia,TRUE,Cabinet,Founding Generation,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a53000/3a53300/3a53386v.jpg,"William Henry Harrison was the son of a signer of the Declaration of Independence, and his grandson, Benjamin Harrison, would later become president. A hero of the battle of Tippecanoe, where he defeated Shawnee warriors and their chief Tecumseh, Harrison would unfortunately not have the opportunity to savor the popularity that got him elected president. After delivering the longest ever inaugural address on a very cold and windy March day, Harrison developed pneumonia and died exactly a month after his inauguration."
John Tyler,Virginia,Virginia,The College of William & Mary,Bachelors,Episcopalian,Lawyer,Captain of Virginia Militia,1841-1845,Whig,none,Vice President,TRUE,Vice President,Founding Generation,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a53000/3a53200/3a53283r.jpg,"With the death of President William Henry Harrison, John Tyler was the first vice president to assume the presidency, a precedent that did not sit well with some members of Congress--particularly his own party, the Whigs. Tyler's general disregard of their agenda eventually caused the resignation of all but one member of his cabinet, and ultimately he was expelled from the party. Yet, despite challenges to his authority, and nicknames like ""His Accidency,"" Tyler refused to open mail addressed to the ""Acting President,"" taking on all the powers and privileges of the presidency. Among Tyler's acts as president were bringing an end to the Seminole War, working on the Webster-Ashburn Treaty of 1842 to resolve the Maine boundary dispute, arranging for the first American trade mission to China, and expanding the Monroe Doctrine to include Hawaii. Another first for Tyler--he was the first president to be married in office."
