Name,term_start,era,occupation_group
George Washington,1789,Founding Generation,Agriculture / Land
George Washington,1789,Founding Generation,Military
John Adams,1797,Founding Generation,Law / Legal
John Adams,1797,Founding Generation,Agriculture / Land
Thomas Jefferson,1801,Founding Generation,Technical / Professional
Thomas Jefferson,1801,Founding Generation,Law / Legal
Thomas Jefferson,1801,Founding Generation,Technical / Professional
James Madison,1809,Founding Generation,Agriculture / Land
James Madison,1809,Founding Generation,Law / Legal
James Monroe,1817,Founding Generation,Agriculture / Land
James Monroe,1817,Founding Generation,Law / Legal
John Quincy Adams,1825,Founding Generation,Law / Legal
John Quincy Adams,1825,Founding Generation,Government / Public Service
Andrew Jackson,1829,Founding Generation,Military
Andrew Jackson,1829,Founding Generation,Law / Legal
Martin van Buren,1837,Founding Generation,Law / Legal
William H. Harrison,1841,Founding Generation,Military
John Tyler,1841,Founding Generation,Law / Legal
James K. Polk,1845,Founding Generation,Law / Legal
James K. Polk,1845,Founding Generation,Agriculture / Land
Zachary Taylor,1849,Founding Generation,Military
Millard Fillmore,1850,Founding Generation,Law / Legal
Franklin Pierce,1853,Founding Generation,Law / Legal
James Buchanan,1857,Founding Generation,Law / Legal
James Buchanan,1857,Founding Generation,Government / Public Service
Abraham Lincoln,1861,Civil War,Agriculture / Land
Abraham Lincoln,1861,Civil War,Law / Legal
Andrew Johnson,1865,Civil War,Trades / Labor
Ulysses S. Grant,1869,Civil War,Military
Rutherford Hayes,1877,Industrial Expansion,Law / Legal
James Garfield,1881,Industrial Expansion,Education / Academia
James Garfield,1881,Industrial Expansion,Religion
James Garfield,1881,Industrial Expansion,Military
Chester Arthur,1881,Industrial Expansion,Government / Public Service
Grover Cleveland,1885,Industrial Expansion,Government / Public Service
Grover Cleveland,1885,Industrial Expansion,Law / Legal
Grover Cleveland,1885,Industrial Expansion,Education / Academia
Benjamin Harrison,1889,Industrial Expansion,Law / Legal
Benjamin Harrison,1889,Industrial Expansion,Media / Writing
Grover Cleveland,1893,Industrial Expansion,Government / Public Service
Grover Cleveland,1893,Industrial Expansion,Law / Legal
Grover Cleveland,1893,Industrial Expansion,Education / Academia
William McKinley,1897,Industrial Expansion,Law / Legal
Theodore Roosevelt,1901,Industrial Expansion,Government / Public Service
Theodore Roosevelt,1901,Industrial Expansion,Agriculture / Land
Theodore Roosevelt,1901,Industrial Expansion,Media / Writing
William Taft,1909,Industrial Expansion,Law / Legal
William Taft,1909,Industrial Expansion,Law / Legal
Woodrow Wilson,1913,Industrial Expansion,Education / Academia
Woodrow Wilson,1913,Industrial Expansion,Education / Academia
Warren Harding,1921,World Wars,Media / Writing
Calvin Coolidge,1923,World Wars,Law / Legal
Calvin Coolidge,1923,World Wars,Business / Finance
Herbert C. Hoover,1929,World Wars,Technical / Professional
Franklin Roosevelt,1933,World Wars,Law / Legal
Harry S Truman,1945,World Wars,Agriculture / Land
Harry S Truman,1945,World Wars,Business / Finance
Dwight Eisenhower,1953,Cold War,Military
Dwight Eisenhower,1953,Cold War,Military
John F. Kennedy,1961,Cold War,Military
John F. Kennedy,1961,Cold War,Media / Writing
Lyndon Johnson,1963,Cold War,Education / Academia
Lyndon Johnson,1963,Cold War,Government / Public Service
Richard Nixon,1969,Cold War,Law / Legal
Richard Nixon,1969,Cold War,Government / Public Service
Gerald R. Ford,1974,Cold War,Law / Legal
Gerald R. Ford,1974,Cold War,Government / Public Service
Jimmy Carter,1977,Cold War,Military
Jimmy Carter,1977,Cold War,Agriculture / Land
Ronald Reagan,1981,Cold War,Media / Writing
Ronald Reagan,1981,Cold War,Trades / Labor
George H. W. Bush,1989,Cold War,Business / Finance
Bill Clinton,1993,Modern Day,Law / Legal
Bill Clinton,1993,Modern Day,Law / Legal
George W. Bush,2001,Modern Day,Business / Finance
Barack Obama,2009,Modern Day,Law / Legal
Donald Trump,2017,Modern Day,Business / Finance
Joe Biden,2021,Modern Day,Law / Legal
Donald Trump,2025,Modern Day,Business / Finance
